time_s,target_angle_deg,current_angle_deg,resistance_torque_Nm
0.0,0.0,-8.0,0.8
0.01,0.0035530108282749717,-7.968495932055044,0.8083823040505206
0.02,0.014211482251502705,-7.929984061214379,0.8167301570585127
0.03,0.031973731173485787,-7.884465729369708,0.8250093025685189
0.04,0.05683695272921396,-7.831943401373681,0.8331858721936465
0.05,0.08879722072777985,-7.772420664592806,0.8412265768921849
0.06,0.12784948827237297,-7.705902228283303,0.8490988949525808
0.07,0.17398758855723728,-7.632393922790022,0.8567712556187054
0.08,0.22720423584149219,-7.551902698568482,0.8642132173121237
0.09,0.2874910265996222,-7.464436625030295,0.8713956394387745
0.1,0.3548384408484956,-7.370004889212036,0.8782908468039238
0.11,0.42923584365069656,-7.268617794267844,0.8848727857012596
0.12,0.5106714867938672,-7.160286757786009,0.8911171707893
0.13,0.5991325106459383,-7.045024309929698,0.8970016219206375
0.14,0.6946049461857601,-6.922844091402279,0.9025057901466328
0.15,0.7970737172090075,-6.793760851237402,0.9076114721816774
0.16,0.9065226427088913,-6.657790444414279,0.9123027126767183
0.17,1.0229344394312934,-6.514949829298548,0.9165658937210117
0.18,1.1462907246040293,-6.365257064909036,0.920389811063639
0.19,1.2765720188396712,-6.208731308010975,0.9237657366217846
0.2,1.4137577492116016,-6.045392810035985,0.926687466920693
0.21,1.5578262525026754,-5.875262913829479,0.9291513571901604
0.22,1.7087547786261332,-5.6983640502258295,0.9311563409239242
0.23,1.8665194942180874,-5.514719734451965,0.9327039347909079
0.24,2.031095486401067,-5.324354562359931,0.9337982288705192
0.25,2.202456766718091,-5.12729420648893,0.9344458622675887
0.26,2.3805762752365043,-4.923565411957622,0.9346559842456086
0.27,2.5654258848211016,-4.7131959921871385,0.9344402010992254
0.28,2.7569764055756667,-4.4962148244557,0.9338125090679664
0.29,2.955197589452459,-4.272651845285306,0.9327892136724988
0.3,3.1600581350286845,-4.04253804566144,0.9313888359318705
0.31,3.371525692449388,-3.80590546608638,0.9296320059947248
0.32,3.589566868535833,-3.5627871914670255,0.927541344788999
0.33,3.814147232058711,-3.3132173458379137,0.9251413343626936
0.34,4.045231319175196,-3.057231086920405,0.9224581776525678
0.35000000000000003,4.282782639029124,-2.7948646005187445,0.9195196484776745
0.36,4.5267636795133015,-2.526155094754027,0.9163549326102094
0.37,4.77713591319313,-2.251140794136841,0.9129944608268322
0.38,5.033859803390493,-1.9698609334796755,0.9094697348892008
0.39,5.296894810427102,-1.6823557516498742,0.9058131474426252
0.4,5.566199398026138,-1.3886664851643085,0.9020577968563138
0.41000000000000003,5.841731039871344,-1.0888353616266135,0.8982372980574223
0.42,6.123446226322413,-0.7829055930081426,0.8943855904338822
0.43,6.411300471285651,-0.470921368773654,0.8905367438976406
0.44,6.705248319238867,-0.15292784885279254,0.8867247642103936
0.45,7.005243352409321,0.1710288435414853,0.8829833986780888
0.46,7.311238198103621,0.5009016292464121,0.8793459433183748
0.47000000000000003,7.62318453618843,0.8366424806337145,0.8758450525968059
0.48,7.941033106720765,1.1782024292434947,0.8725125528130142
0.49,8.264733717726722,1.5255315735665285,0.8693792601973205
0.5,8.594235253127366,1.8785790869737067,0.8664748047514889
0.51,8.92948568081055,2.2372932257914107,0.8638274608346924
0.52,9.270432060847408,2.601621337521526,0.8614639854574252
0.53,9.617020553852148,2.971509869204768,0.859409465202302
0.54,9.969196429483949,3.34690437592608,0.857687172641663
0.55,10.32690407508949,3.727749529460662,0.8563184330679406
0.56,10.690087004484845,4.1139891270593525,0.855322502294144
0.5700000000000001,11.058687866875331,4.505566100371939,0.8547164562189129
0.58,11.4326484559118,4.90242252450692,0.8545150927837483
0.59,11.811909718882173,5.304499627226485,0.8547308468796048
0.6,12.19641176603648,5.711737798274983,0.8553737186864541
0.61,12.586093880044189,6.124076598839686,0.8564512158530975
0.62,12.98089452558216,6.541454771142148,0.8579683098458605
0.63,13.380751359051786,6.963810248158746,0.8599274067142947
0.64,13.785601238423778,7.391080163468857,0.8623283324400886
0.65,14.195380233209013,7.823200861229077,0.8651683329525246
0.66,14.610023634553905,8.260107906271962,0.8684420888104822
0.67,15.02946596545868,8.701736094327654,0.8721417444676446
0.68,15.453640991116961,9.148019462366797,0.8762569519547063
0.6900000000000001,15.882481729375005,9.598891299063126,0.8807749287304542
0.7000000000000001,16.315920461308966,10.05428415537402,0.885680529373083
0.71,16.753888741918473,10.51412985523741,0.890956330704469
0.72,17.196317410934956,10.978359506383388,0.8965827298637868
0.73,17.643136603742757,11.446903511258594,0.9025380547732822
0.74,18.094275762411648,11.919691578062022,0.9087986863685906
0.75,18.54966364683871,12.396652731890146,0.9153391918991481
0.76,19.009228345997958,12.877715325989804,0.9221324685413355
0.77,19.472897289295958,13.362807053117045,0.9291498965083956
0.78,19.940597258031538,13.851854957000064,0.9363615007872038
0.79,20.412254396957895,14.34478544390453,0.9437361205829488
0.8,20.887794225945157,14.841524294299354,0.9512415855089839
0.81,21.367141651741694,15.341996674621178,0.9588448975207795
0.8200000000000001,21.850220979832212,15.846127149135668,0.9665124175602711
0.8300000000000001,22.336955926390768,16.35383969189369,0.9742100558501234
0.84,22.827269630326878,16.865057698780568,0.981903464756703
0.85,23.32108466542281,17.37970399965655,0.9895582331259416
0.86,23.818323052560036,17.897700870586377,0.9971400809879142
0.87,24.318906272033043,18.41897004615621,1.004615053523852
